,location_id_mean,temperature_2m_max (°F)_mean,temperature_2m_min (°F)_mean,daylight_duration (s)_mean,sunshine_duration (s)_mean,uv_index_max ()_mean,precipitation_sum (inch)_mean,rain_sum (inch)_mean,showers_sum (inch)_mean,snowfall_sum (inch)_mean,precipitation_hours (h)_mean,wind_speed_10m_max (mp/h)_mean,wind_gusts_10m_max (mp/h)_mean,shortwave_radiation_sum (MJ/m²)_mean
21,21,67.05808219178083,50.28465753424658,12.203236948249621,7.560888074581431,4.712739726027397,0.11878630136986301,0.11878630136986301,0.0,0.0,1.126027397260274,10.566301369863012,21.2986301369863,15.973506849315068
22,22,68.85178082191781,50.81232876712329,12.200319550989345,7.476875882800609,5.0554794520547945,0.06784109589041096,0.06784109589041096,0.0,0.0,0.989041095890411,10.19068493150685,20.64904109589041,15.7586301369863
23,23,65.99260273972602,45.87698630136986,12.228169946727549,6.907422770167428,4.417945205479452,0.056323287671232874,0.056323287671232874,0.0,0.0,1.610958904109589,9.922465753424657,20.01698630136986,14.673123287671231
24,24,82.10493150684931,68.19534246575343,12.161845487062404,8.537257945205479,6.563698630136987,0.0865917808219178,0.0865917808219178,0.0,0.0,0.6931506849315069,14.911506849315067,24.073972602739726,18.428465753424657
25,25,74.32849315068493,53.036986301369865,12.187818462709284,8.375977496194825,5.475068493150685,0.08891506849315069,0.08891506849315069,0.0,0.0,0.8383561643835616,10.988493150684931,22.951506849315066,17.999835616438354
26,26,80.79780821917808,65.01150684931507,12.167753523592085,8.563275258751903,6.512602739726027,0.0843013698630137,0.0843013698630137,0.0,0.0,0.6136986301369863,10.815068493150685,20.395342465753426,18.435041095890412
27,27,81.78876712328767,57.67424657534246,12.18802187214612,9.80105101978691,6.335479452054794,0.021284931506849316,0.021284931506849316,0.0,0.0,0.18082191780821918,14.848767123287672,21.835616438356166,20.942109589041095
28,28,69.4013698630137,50.04876712328767,12.191851149162861,8.336799459665144,5.3998630136986305,0.08578630136986301,0.08578630136986301,0.0,0.0,0.873972602739726,11.495616438356164,23.042191780821916,17.873397260273972
29,29,60.13232876712328,37.37397260273973,12.217071788432268,8.834715471841704,5.627945205479452,0.01814794520547945,0.01814794520547945,0.0,0.0,0.4821917808219178,20.677534246575345,30.0013698630137,18.061424657534246
30,30,81.18438356164383,58.27890410958904,12.187905,9.837623325722983,6.336301369863014,0.014380821917808219,0.014380821917808219,0.0,0.0,0.16986301369863013,14.324931506849316,21.395068493150685,20.95454794520548
31,31,59.05150684931507,44.678356164383565,12.217125372907155,6.571874901065449,4.287534246575342,0.07552876712328767,0.07552876712328767,0.0,0.0,1.526027397260274,12.836986301369864,24.795890410958904,14.360931506849315
32,32,89.76849315068493,66.52767123287671,12.161104414003045,8.817591735159818,6.614794520547945,0.030084931506849315,0.030084931506849315,0.0,0.0,0.4520547945205479,11.884109589041095,24.363013698630137,19.677287671232875
33,33,71.41671232876712,51.04,12.187150791476407,7.963592130898021,5.352465753424657,0.08384657534246576,0.08384657534246576,0.0,0.0,0.9397260273972603,9.016712328767124,18.506849315068493,17.34654794520548
34,34,59.329863013698635,44.197808219178086,12.21850783105023,6.530937960426179,4.2338356164383555,0.06574246575342466,0.06574246575342466,0.0,0.0,1.4493150684931506,12.313424657534245,23.924931506849315,14.312109589041096
